annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_mag_2007_389278.txt-46-14,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || When you do this, the club often bottoms out before it reaches the ball."
BALLS_mag_1992_61837.txt-47-12_balls_fic_1965_13271.txt-12-9,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || He'd be a eunuch if you cut his balls off."
Ball_fic_1845_7183.txt-96-4_ball_fic_1840_7292.txt-1417-20,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Every third word was a quotation; and it was only when the new-comer, who had kept up the ball with no little show of practice and ability, found his corresponding store of quotation utterly exhausted, that he was brought back to the more immediate necessities of his situation."
Ball_fic_1845_7183.txt-96-4_ball_fic_1840_9329.txt-1163-29,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Uzzial Putnam In his natural tone while the Serjeant is upstage Comfortable -- guess you shall, and have headache enough to carry a double-breasted gristmill or a rifle ball a hundred and"
Ball_fic_1845_7183.txt-96-4_ball_news_2006_607707.txt-38-20,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || take short drop-backs on pass plays, read the defense quickly to determine who is open and then pass the ball to a spot, rather than to a receiver's hands."
Ball_fic_1845_7183.txt-96-4_balls_fic_1994_41224.txt-397-7,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Aesop sighed, grabbed hold of his balls with his left hand -- which was how the two of us swore to sacred oaths -- and lifted his right hand into the air. """
Ball_fic_1859_9220.txt-2340-13_ball_fic_1843_7208.txt-4384-11,Unrelated,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Particularly as the weathercock's a silverside, with a gold ball in its mouth!"
Ball_fic_1859_9220.txt-2340-13_ball_mag_1989_492445.txt-76-35,Unrelated,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Medical updates were released three times a day, and hundreds stood vigil outside the East Side hospital, including dozens of children who weren't even old enough to have seen their idol play ball."
Ball_fic_1859_9220.txt-2340-13_ball_nf_1838_747482.txt-1194-43,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
Ball_fic_1998_14643.txt-1259-34_ball_fic_1834_7030.txt-1898-27,Distantly Related,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || Then, bracing his nerves, he proceeded to effect his exit through the opening, and was vigorously struggling to free himself, when a musket ball whistled by his ear and buried itself in the wooden sill of the house."
Ball_mag_2002_384996.txt-52-8_ball_mag_1980_490829.txt-159-19,Closely Related,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || When a player is tackled, it is a good thing if he can manage to curl into a ball, because the convexity of the hack acts as a shield, like a tortoise's shell particularly when there are nine people on top of one."
Ball_mag_2002_384996.txt-52-8_ball_mag_2003_85197.txt-19-12,Closely Related,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || After the game Lorenzen claimed he was just trying to keep the ball out of the hands of the LSU offense."
Balls_fic_1974_10580.txt-7369-0_ball_fic_1976_780158.txt-2290-7,Closely Related,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || It's all part of the same ball of wax."
Bits_fic_2009_36638.txt-804-0_bit_fic_1960_23770.txt-175-8,Identical,Bits of tea leaves clung to the inner curves of the broken cup. || With a napkin Mrs. Gamp wiped away a bit of deviled egg that she had spilled on her dress.
Bits_fic_2009_36638.txt-804-0_bits_fic_1982_10698.txt-560-9,Identical,"Bits of tea leaves clung to the inner curves of the broken cup. || It was freezing solid as it moved forward -- bits were breaking off like glass -- but it was still advancing toward the ship, a black tidal wave, slowing down all the time."
Bits_fic_2009_36638.txt-804-0_bits_nf_1853_747976.txt-1572-25,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || The last form hut one tool, the stock being the handle, to the bottom of which may be fitted a variety of steel bits of different bores and shapes, for boring and widening out holes in wood and metal, as countersinks, rimers, and taper shell bits."
Chef_fic_1819_8988.txt-1529-15_chef_news_2006_623955.txt-26-1,Undecidable,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || The chef makes "" noodles "" out of long chewy strips of cuttlefish and mounds them in the center of a burnished origami-like bowl with a julienne of daikon, burdock root stained orange to look like carrots, precise rounds of sliced okra, orange salmon eggs and sea urchin."
Chef_fic_1844_3928.txt-1406-9_chefs_fic_1846_544.txt-2808-20,Identical,"Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis. || A curious evidence of this was given in a remarkable ceremony in which I frequently saw Mehevi and several other chefs and warriors of note take part; but never a single female."
Chef_news_1977_732998.txt-23-0_chefs_mag_1982_432096.txt-101-5,Identical,"Chef Julia Child often brings along a roast lamb sandwich from home. || Along the back roads white-hatted chefs follow in minibuses, stopping to prepare impromptu picnics wherever the highflying drifters happen to land."
Chefs_news_1994_641063.txt-27-0_chef_news_1983_671296.txt-46-5,Identical,"Chefs throughout the country favor merlot in their brown sauces for its appropriately soft texture - velvet wine in a satin sauce. || // Remo Raicovich, the chef, cooks the maccaruni perfectly; they are resilient yet tender."
Circle_fic_2007_52477.txt-270-44_circled_fic_1961_781980.txt-1331-7,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || They walked down the gravel path, circled the pool and fountain."
Circle_fic_2007_52477.txt-270-44_circled_fic_1974_782013.txt-2184-9,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || Vance honked the horn a few times, then circled the station calling me and looked into the men's room again."
Circle_fic_2007_52477.txt-270-44_circled_fic_1992_53574.txt-214-2,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || It was circled by a ring of pain, like fire, and the ring was pulsing. """
Circle_fic_2007_52477.txt-270-44_circling_mag_1973_280788.txt-28-1,Distantly Related,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || While circling over Algeria's Blida Airport in anticipation of De Gaulle's departure, the pilot was dismayed to see that a swarm of helicopters had taken off at once."
Circle_nf_2006_775510.txt-112-0_circle_nf_1827_747521.txt-163-33,Closely Related,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || Let 6/, be the central hne; divide it into four parts, and at one fourth make the hne a b across the column; on c, make the half circle a e b; with the distance / 1, at the neck of the column, and on 1, on the central hne, make the points 1, 1, on the circle; divide from 1 to c,"
Circle_nf_2006_775510.txt-112-0_circled_nf_2005_776573.txt-14-1,Identical,"Circle yes if it is your mother or father or a sibling (if a stepsibling, circle no) // Y / N Did this relative get the disease with a suspected genetic link before age sixty-five? || We circled, underlined, and clipped with abandon."
Circled_fic_1835_8114.txt-434-8_Circling_fic_1849_2605.txt-638-26,Identical,"They shall not say that when the fire Circled the hunted herd, his sire Wept like the roebuck when he flies, End note: 1Kb And died as warrior never dies. || I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. '"
Circled_fic_1837_8687.txt-961-1_circled_fic_1985_10729.txt-5570-4,Identical,"Euphas Circled with Christian swords, Stands waiting thy behest! || The jerking stiff-jointed puppets circled him, shuffling and bobbingp229along the floorboards."
