annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_mag_1980_490829.txt-159-19,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || When a player is tackled, it is a good thing if he can manage to curl into a ball, because the convexity of the hack acts as a shield, like a tortoise's shell particularly when there are nine people on top of one."
BALLS_mag_1992_61837.txt-47-12_balls_fic_2007_52171.txt-163-54,Closely Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || More rambling here, but the short version is the woman's crazy, the kind who says one thing and does another, wants control of every facet of his life, always has to know where he's been, who he's been with, like she hasn't got his balls already and that isn't enough. """
BALLS_mag_1992_61837.txt-47-12_balls_nf_1854_750818.txt-967-13,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || Even in the Imperial Treasury the computations were made by the help of balls strung on wires."
Ball_fic_1845_7183.txt-96-4_ball_fic_1854_9218.txt-3589-17,Identical,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || He never came near me all day, and toward night I began to dress for the ball."
Ball_fic_1859_9220.txt-2340-13_ball_mag_1832_564161.txt-516-22,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Or the ladies of either town may dine at home, figure and make conquests, at a tea-party, or a ball, in the other, on the evening of the same day, and return to breakfast, in their own dwellings, the next morning."
Ball_mag_2002_384996.txt-52-8_balls_fic_2006_27868.txt-198-8,Closely Related,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || She was alone on the tee, hitting balls out to Kenny Burke's little brother -- but she wasn't so much hitting as flailing at them with the most god-awful swing one could imagine."
Bits_fic_1856_1281.txt-3685-0_bit_mag_1832_554167.txt-450-5,Closely Related,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || Should he come to a bit of gravel, he lays it on his head, and flings it out; should the stone be too large, he shoulders it and carries it on his hack up the sloping side of the pit; if this can not be done, he either leaves the pit or works the stone into the wall."
Bits_fic_2009_36638.txt-804-0_bit_fic_1859_9037.txt-439-7,Distantly Related,"Bits of tea leaves clung to the inner curves of the broken cup. || said the old lady, "" every bit and grain of my comfort is gone, "" and removing her spectacles she continued silently rubbing them through her apron till Ellen, who was standing at the window on tip-toe, announced that Jane Stilman was coming with her "" changeable silk on. """
Bits_fic_2009_36638.txt-804-0_bit_mag_1846_523866.txt-135-34,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || The wild beast in his forest haunt, Must own him for his lord: // The desert steed, no dangers daunt With fiery hoof and flying mane, And mouth unworn by bit or rein, Must feel the lash and cord: And to the neck-encirling yoke, The untamed mountain-bull be broke."
Chef_fic_1819_8988.txt-1529-15_chefs_fic_1846_544.txt-2808-20,Identical,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || A curious evidence of this was given in a remarkable ceremony in which I frequently saw Mehevi and several other chefs and warriors of note take part; but never a single female."
Chef_fic_1844_3928.txt-1406-9_chef_mag_1836_554393.txt-176-6,Identical,"Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis. || He boasted of having been a chef de brigade in the republican armies of France; but, such was his ardor in the cause, that he accepted the humble rank of chef de cuisine in the service of Toledo."
