annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_fic_1846_7527.txt-54-30,Unrelated,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || 2 With all the news, and more than all, sir; -- 3 Puffs for the last dramatic star; 4 And cuts at Mrs. M.'s last ball, sir!"
Balls_fic_1974_10580.txt-7369-0_ball_mag_1970_479117.txt-88-13,Identical,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
Chef_fic_1819_8988.txt-1465-17_chef_fic_2005_32589.txt-87-26,Unrelated,"Col. Arthur P. Hayne Governor Claiborne and General Carroll, guarding against attack, by way of Chef Menteur, lie posted, by your order, on the Gentilly road. || He had a closet full of expensive clothes, but right now he wore a pair of houndstooth check pants with frayed cuffs, a white chef jacket, and a New Orleans Saints baseball cap."
Chef_fic_1819_8988.txt-1465-17_chef_fic_2008_36299.txt-94-1,Unrelated,"Col. Arthur P. Hayne Governor Claiborne and General Carroll, guarding against attack, by way of Chef Menteur, lie posted, by your order, on the Gentilly road. || The chef at the Four Seasons required a week's notice."
Chef_fic_1819_8988.txt-1529-15_chef_nf_1991_774072.txt-1176-5,Identical,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Initial browning also offers the chef the opportunity to flour the meat, which will help bind the finished liquid without giving it a floury taste."
Chef_mag_1997_428061.txt-153-6_Chef_fic_1844_3928.txt-1406-9,Unrelated,"13 Admiral LATA300AA $440 16 Magic Chef W227L $460 * 44x27x27 in. || Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis."
Chef_news_1977_732998.txt-23-0_Chef_fic_1819_8988.txt-1529-15,Undecidable,"Chef Julia Child often brings along a roast lamb sandwich from home. || -- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command."
Chef_news_1977_732998.txt-23-0_chef_fic_2001_27380.txt-81-4,Identical,"Chef Julia Child often brings along a roast lamb sandwich from home. || Anyhow, the Crillon chef's nose is out of joint."
Chef_news_1977_732998.txt-23-0_chef_news_1995_631301.txt-29-11,Identical,Chef Julia Child often brings along a roast lamb sandwich from home. || We'll even bet that the upcoming arrival of new head chef won't disrupt a detail at Jilly's.
Chef_news_2006_636092.txt-61-0_chef_mag_1986_432289.txt-29-3,Identical,"Chef John Coletta has gone all out and fashioned a very enjoyable menu of Italian dishes that delight and at times dazzle. || Seppi Renggli, chef of The Four Seasons restaurant in New York, created his own spa cuisine in conjunction with a nutritionist."
Circled_fic_1811_8637.txt-163-27_circle_mag_1992_409433.txt-83-9,Distantly Related,"When brothers are at variance, could they think On one tear a mother shed on them, That woke their slumbers, while their infant arms Circled each other's neck, ' t would surely quench All sparks of strife within their breasts for ever. || Once out of sight, the buck angled to circle around me."
Circled_fic_1811_8637.txt-163-27_circling_nf_1855_748479.txt-213-16,Unrelated,"When brothers are at variance, could they think On one tear a mother shed on them, That woke their slumbers, while their infant arms Circled each other's neck, ' t would surely quench All sparks of strife within their breasts for ever. || The Egyptians, like the Americans, were a mixed race, with some Negro blood circling around the throne, as well as in the mud hovels."
Circled_fic_1837_8687.txt-961-1_circled_fic_1848_7186.txt-245-10,Closely Related,"Euphas Circled with Christian swords, Stands waiting thy behest! || Giant oaks, not more than twenty in number, circled on a space some three hundred yards square."
Circled_mag_1840_554815.txt-207-38_circling_fic_1827_7169.txt-2139-41,Distantly Related,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || warm cloak and balanced by his poised stick, disporting and marking out curves and fantastic figures on the polished and frozen visage of the lagoon -- now darting along swift as a winged shaft shotten from a bow -- now circling and cleaving with rapid heel, quick as the following of sight itself, the congealed bosom of the streamlet, anon shooting hither, then thitherward as a thing borne by the wanton sweep of the invigorating breeze, at a moment's will, taking one course, pursued by his eager fellows, and again, like the swoop of the lammer geyer, round an alpine peak to avoid their playful grasp, eluding the extended hand of his sanguine companion, he wheels abrupt unto an adverse way, leaving his baulked pursuer, unwitting of his drift, to take a wider circuit, -- all skimming away in their revelry, like a flight of swallows, cutting the clouds in the merriment of their summer lives."
Circling_fic_1848_7992.txt-315-50_circling_mag_1973_280788.txt-28-1,Distantly Related,"As the rivers, farthest flowing, In the highest hills have birth; As the banyan, broadest growing, Oftenest bows its head to earth, -- So the noblest minds press onward, Channels far of good to trace; So the largest hearts bend downward, Circling all the human race; Thus, by Iron's aid, pursuing Through the earth their plans of love, Men our Father's will are doing, Here, as angels do above! || While circling over Algeria's Blida Airport in anticipation of De Gaulle's departure, the pilot was dismayed to see that a swarm of helicopters had taken off at once."
Circling_fic_1852_8028.txt-398-39_circled_fic_1971_10547.txt-3199-2,Unrelated,"-- Did I not tell you, then, That you were Salem's fairest daughter, That in the field and in the house, by stream And wood and sea-side lonely, I thought of you -- Circling your gentle heart with this same arm, Did I not say, as now I say, and ever, Ever shall, I love you! || as he circled the pump and coaxed it up the drive, awning flapping, scales banging, and, swinging wildly at the rear bumper, the red kerosene lantern he used as a taillight."
Circling_fic_1854_8328.txt-3829-0_circled_fic_1840_7164.txt-2707-5,Closely Related,"Circling over thy bosom of blue The light, graceful gull was afloat, And gravelly Bluff Point loomed to view From the deck of our beautiful boat. || a part of his men circled the dwelling and galloped up a lane which would lead them directly across the lawn toward the front door of the house, while the rest, wheeling off among the meadows, presented themselves at the same time in the rear."
Circling_fic_1961_10405.txt-1211-0_circled_news_1962_722823.txt-13-1,Closely Related,"Circling the city, indeed its primary vein of extra-human, by day it thrust the streets back upon their own mortality, miserable or effete. || Scannell circled the big black car warily and confirmed that it was the governor's."
Donkeys_fic_1860_616.txt-1354-0_donkey_fic_1847_7124.txt-543-5,Identical,"Donkeys, bearing panniers stuffed out with kitchen vegetables, and requiring an ample roadway, roughly shouldered aside the throng. || He was mounted on a donkey fantastically accoutred and having at the end of his nose an elephant's trunk."
Donkeys_fic_1860_616.txt-1354-0_donkeys_fic_1993_1040057.txt-226-29,Identical,"Donkeys, bearing panniers stuffed out with kitchen vegetables, and requiring an ample roadway, roughly shouldered aside the throng. || enter some air-conditioned American store, a memory of the good warm smell of the miserable donkeys of Jerusalem will suddenly rise to my nose, those heavily laden donkeys with sores on their rumps and ankles, the skin on their necks and backs scraped to bleeding baldness by whips and bridles, and with it the smell of the dust that collects in the prints of their little jet-black hooves."
Edge_news_2006_604826.txt-2-3_edges_fic_1845_7317.txt-4325-19,Identical,"At Canaan's Edge: America in the King Years 1965-68 (Simon &; Schuster, $35), the final volume in Branch's monumental series, is out this week. || The clouds grew banked in solid columns, like the gathering wings of an invading army, on the edges of the southern and southeastern horizon."
FICTION_fic_2002_14169.txt-1008-0_fiction_fic_1964_14198.txt-2164-10,Identical,FICTION FACT 'LL OFTEN ACT OFFICIOUS FACT LEAST I 'LL NEVER BE FICTITIOUS BOTH WE 'VE BEEN BOOKED AT THE PALACEWE 'VE BEEN BOOKED || CHARLES TANEY Seymour has so far kept up the polite fiction that I am running the Foundation.
