annotation_lbl,category,sentence
Ball_fic_1845_7183.txt-96-4_ball_fic_1835_7064.txt-1770-4,Unrelated,PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || There was a magnificent ball at the Prince M -- ' s the second evening after Norman's adventure with the panel.
Ball_fic_1845_7183.txt-96-4_ball_fic_1860_9165.txt-196-14,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || said Miss Gilbert; and out came a smart little chap with a smaller ball in his hand, and began walking obediently around the chalk circle next the sun. """
Ball_fic_1845_7183.txt-96-4_balls_fic_2006_27868.txt-198-8,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || She was alone on the tee, hitting balls out to Kenny Burke's little brother -- but she wasn't so much hitting as flailing at them with the most god-awful swing one could imagine."
Ball_fic_1859_9220.txt-2340-13_ball_mag_1988_90553.txt-39-23,Unrelated,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Dowis, who hails from Ty Cobb's hometown of Royston, Ga., is quick-footed and quick-witted, able to flip the ball to a trailing halfback at the last split second."
Ball_fic_1859_9220.txt-2340-13_balls_fic_1842_7206.txt-3298-50,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Ball_fic_1998_14643.txt-1259-34_ball_mag_1970_479117.txt-88-13,Unrelated,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
Ball_mag_2002_384996.txt-52-8_ball_fic_2000_27978.txt-555-1,Undecidable,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || eight ball, but I 'm going to drag her down to Be-Stitched the minute she gets here and force her to make a decision. """
Ball_news_1989_670792.txt-27-3_ball_fic_1854_9218.txt-3589-17,Distantly Related,"Follow the Bouncing Ball // Ms. Birnbaum, a lawyer and the club ' s operations partner, said, "" We felt the time was right for the audience to be part of the entertainment. "" || He never came near me all day, and toward night I began to dress for the ball."
Ball_nf_1844_762654.txt-424-8_ball_mag_2004_413914.txt-69-11,Unrelated,"of Oude, and are discussed in V. Ball, Jungle Life in India (De la Rue, 1880), pp. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
Bits_fic_1856_1281.txt-3685-0_bit_fic_1840_7332.txt-1696-11,Unrelated,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || I say, stranger, here's a house -- a bit of a tavern, I suppose; yes, there are wagons -- and there's a light in the bar-room -- they be in"
Bits_fic_1856_1281.txt-3685-0_bit_fic_1856_1552.txt-8126-21,Unrelated,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || who was only thirty-four; and Miss Ellen whispered back, in reply: -- "" She hasn't the slightest bit of shame! """
Bits_fic_1856_1281.txt-3685-0_bit_news_1987_668817.txt-35-9,Distantly Related,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || If we hike our dresses up just a little bit, it means it ' s a dance from an area of dry land, "" says Endo. """
Bits_fic_1856_1281.txt-3685-0_bits_fic_1966_10469.txt-2680-20,Closely Related,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || The bitterly cold air had found every loose stitch in Caroline's sweater and now was concentrating on the metal bits of brassiere that touched her skin."
Bits_fic_1856_1281.txt-3685-0_bits_nf_1837_757476.txt-537-19,Identical,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || Lay it on a stand or trivet in a deep dish or pan, and stick it over with bits of butter rolled in flour."
Bits_fic_2009_36638.txt-804-0_bit_fic_1840_7332.txt-1696-11,Closely Related,"Bits of tea leaves clung to the inner curves of the broken cup. || I say, stranger, here's a house -- a bit of a tavern, I suppose; yes, there are wagons -- and there's a light in the bar-room -- they be in"
Bits_fic_2009_36638.txt-804-0_bit_fic_1846_556.txt-3541-8,Closely Related,"Bits of tea leaves clung to the inner curves of the broken cup. || It was, however, a highly fashionable bit of pasteboard, as became"
Bits_fic_2009_36638.txt-804-0_bits_nf_1997_773513.txt-272-7,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || This came to only 300 x 1015 bits, much less than the traffic carried over the telephone network."
CHEF_mag_1995_395507.txt-44-0_chef_fic_1992_40323.txt-77-14,Identical,"CHEF CLAYTON SHERROD Clayton Sherrod is owner and operator of Chef Clayton's Food Systems, Inc., an extensive catering and food service operation founded in 1977 and based in Birmingham, Ala. || Sherry Tualaulelei was instrumental in the conviction and thirty-three year imprisonment of the pastry chef's boss, Sinio "" Sally Comfort "" Conforte, who had "" borrowed "" a car to sneak out for a visit to his mistress."
CIRCLING_fic_1968_24505.txt-2485-4_circling_fic_1849_7230.txt-2441-6,Closely Related,"411 SKY SHOT - CIRCLING BIRDS Sea gulls are soaring overhead. || ye lieges all advance, And circling join in merry Morrice dance. """
Chef_fic_1819_8988.txt-1529-15_chef_news_1995_631270.txt-48-3,Identical,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Ever the practical chef, she pulls out store-bought pumpkin seeds to make pesto for the frittata when the zucchini she opens do not yield mature-enough seeds to roast."
Chef_fic_1819_8988.txt-1529-15_chefs_mag_1994_426049.txt-149-1,Unrelated,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Smart chefs will use chicken broth instead of butter, but at Mom's table, smart doesn't always cut it."
Chef_fic_1850_7304.txt-1678-37_chefs_mag_1994_409087.txt-47-2,Undecidable,"Il fallut songer ensuite lui donner un successeur, et le choix que l'on fit, fut plus sage, qu'on ne devoit l'attendre de gens, do nt les mains fumoient encore du sang de leur Chef. || Thousands of chefs have already announced that they will not use any biotech foods that enter the marketplace, even though they've never tasted these foods or learned how they were developed."
Chef_fic_1995_39408.txt-349-5_chef_nf_1977_774125.txt-1297-15,Identical,""" So, "" the Chef du Village says with a shrug, already scanning down the line. "" || The meaning was pretty clear, but Newsweek spelled it out, saying that the chef "" routinely expresses contempt for women in the kitchen."
Chef_fic_1995_39408.txt-349-5_chefs_fic_1846_544.txt-2808-20,Closely Related,""" So, "" the Chef du Village says with a shrug, already scanning down the line. "" || A curious evidence of this was given in a remarkable ceremony in which I frequently saw Mehevi and several other chefs and warriors of note take part; but never a single female."
Chef_mag_1827_553813.txt-223-51_chef_fic_1992_40323.txt-77-14,Undecidable,"A Pierre Guoin, Ecuyer, LA confiance particuliere que J'ai de votre integrihi & attachement a Sa Majeshi Le Roy George, et en verta dii Pouvoir & Authorihi qui ma ehi donn * par Messire Guy Carleton, Chevalier des ordres du I3ain, Capitaine General et Gouverneur en Chef de Ia Province de Quebec & Territoires en dependans en Amerique, Vice Admiral d'icelle, &c. &c. &c. || Sherry Tualaulelei was instrumental in the conviction and thirty-three year imprisonment of the pastry chef's boss, Sinio "" Sally Comfort "" Conforte, who had "" borrowed "" a car to sneak out for a visit to his mistress."
Chef_mag_1997_428061.txt-153-6_chef_nf_1977_774125.txt-1297-15,Undecidable,"13 Admiral LATA300AA $440 16 Magic Chef W227L $460 * 44x27x27 in. || The meaning was pretty clear, but Newsweek spelled it out, saying that the chef "" routinely expresses contempt for women in the kitchen."
Chef_mag_2001_415832.txt-315-0_chef_mag_1986_432289.txt-29-3,Identical,"Chef Anthony and his staff work in an open kitchen so diners at The Inn &; Spa at Cedar Falls can order their meals and then watch the preparation. || Seppi Renggli, chef of The Four Seasons restaurant in New York, created his own spa cuisine in conjunction with a nutritionist."
