annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_nf_1838_747482.txt-1194-43,Unrelated,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
Ball_fic_1845_7183.txt-96-4_ball_fic_1840_9329.txt-1163-29,Closely Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Uzzial Putnam In his natural tone while the Serjeant is upstage Comfortable -- guess you shall, and have headache enough to carry a double-breasted gristmill or a rifle ball a hundred and"
Ball_fic_1845_7183.txt-96-4_ball_fic_1964_780000.txt-1166-5,Distantly Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || She float around like a ball lightning, first over the river, then under."
Ball_fic_1845_7183.txt-96-4_ball_mag_2004_413914.txt-69-11,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || That happens when you don't get on top of the ball or throw it without the proper arm action, "" Willis says."
Ball_fic_1845_7183.txt-96-4_balls_fic_1834_7030.txt-1386-21,Unrelated,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || At the same instant her two astounded countrymen fell lifeless from the terrace, pierced to the heart by the unerring balls of the sharp shooters."
Ball_fic_1845_7183.txt-96-4_balls_nf_1979_774342.txt-1216-30,Distantly Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || The teacher tells his students how poorly they have done on the midterm exam, hands clasped behind him as he shifts back and forth from the heels to the balls of his feet."
Ball_fic_1859_9220.txt-2326-10_ball_fic_1842_555.txt-2985-38,Identical,"worth seeing, I am told, -- the Century Ball especially. || There, once in a while, was seen the thin, care-worn, melancholy visage of an old tory, with a Wig that, in times long past, had perhaps figured at a Province House ball."
Ball_fic_1859_9220.txt-2340-13_ball_mag_1832_564161.txt-516-22,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Or the ladies of either town may dine at home, figure and make conquests, at a tea-party, or a ball, in the other, on the evening of the same day, and return to breakfast, in their own dwellings, the next morning."
Ball_fic_1859_9220.txt-2340-13_ball_mag_1988_90553.txt-39-23,Unrelated,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || Dowis, who hails from Ty Cobb's hometown of Royston, Ga., is quick-footed and quick-witted, able to flip the ball to a trailing halfback at the last split second."
Ball_fic_1859_9220.txt-2340-13_balls_fic_1842_7206.txt-3298-50,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
