annotation_lbl,category,sentence
circle_fic_1839_8627.txt-1994-11_circling_fic_1854_70.txt-2012-8,Identical,"See how they bear him up upon their wings, And circle him with glory! || Or sometimes I watched a pair of hen-hawks circling high in the sky, alternately soaring and descending, approaching, and leaving one another, as if they were the embodiment of my own thoughts."
circled_fic_1852_593.txt-1202-17_circled_fic_1978_782020.txt-1272-1,Identical,"Those pleasantly swelling slopes of our farm, descending towards the wide meadows, through which sluggishly circled the brimful tide of the Charles, bathing the long sedges on its hither and farther shores; the broad, sunny gleam over the winding water; that peculiar picturesqueness of the scene where capes and headlands put themselves boldly forth upon the perfect level of the || Janet circled him at a distance as though he might still be dangerous."
circled_fic_1973_10569.txt-2907-9_circling_fic_1846_7036.txt-2560-11,Identical,"A new concrete road ran up to it and circled it to rejoin itself and fade away into the dun thistle-strewn hills. || They were not aware that the spirit of a nightingale was circling round them and would pass into the soul of their infant son, whom they named Felix Mendelssohn."
circled_mag_1823_553451.txt-373-54_Circled_mag_1840_554815.txt-207-38,Identical,"lie soon Saw within ken a glorious Angel stand, The same whom John saw also in the sun: His back was turned, but not his brightness hid; Of beaming sunny rays a golden tiar Circled his head, nor less his locks behind Illustrious on his shoulders fledge with wings Lay waving round; on some great charge employed He seemed, or fixed in cogitation deep. "" || May it plea * e your lordships: I shall humbly crave at your lordships ' hands a benign interpretation of that which I shall now ivrte; for words that come from wasted spirits and an oppressed mind are more safe in being deposited in a noble construction, than in heir * circled with and reserved"
circling_fic_1843_7155.txt-169-45_circled_fic_1989_780083.txt-2098-19,Distantly Related,"As soon as he got there, a host of white flowers flew up from under his feet and circled above him anxiously like startled pigeons. || not traversed half the space between her and their nearest barque, before, with an explosion that might be heard leagues away into the pathless forest, startling the wild beast and the wilder Indian in his lair, and with a wide and circling glare that for an instant made the broad daylight pallid, the caravel blew up!"
circling_fic_1965_780079.txt-1535-10_circled_fic_1967_781996.txt-4609-2,Identical,"| They circled the hotel once, everybody looking down at the sprawling buildings and the docks and at the manager who came running out waving his arms. || He did not stop moving, but kept circling, circling, knees bent, in a kind of squat; as he passed the table he seized a bottle by the neck and broke it in half -- crack -- on the table edge, and kept moving."
circling_fic_1986_782032.txt-994-11_circling_nf_1849_749269.txt-626-4,Distantly Related,"Instead, they got all their electronic information from the two circling E-2C air-surveillance aircraft, known colloquially as Hummers, whose radars swept a circle over four hundred miles across || he said again, circling back to his favorite maxim."
circling_fic_2001_14559.txt-2980-18_circle_fic_1839_8627.txt-1994-11,Identical,"See how they bear him up upon their wings, And circle him with glory! || And all around me people shouting, shouting and something like water rushing in through my head and circling my skull."
circling_nf_1849_749269.txt-626-4_circled_fic_1852_593.txt-1202-17,Identical,"Those pleasantly swelling slopes of our farm, descending towards the wide meadows, through which sluggishly circled the brimful tide of the Charles, bathing the long sedges on its hither and farther shores; the broad, sunny gleam over the winding water; that peculiar picturesqueness of the scene where capes and headlands put themselves boldly forth upon the perfect level of the || he said again, circling back to his favorite maxim."
circling_nf_1849_749269.txt-626-4_circling_fic_1843_7155.txt-169-45,Distantly Related,"not traversed half the space between her and their nearest barque, before, with an explosion that might be heard leagues away into the pathless forest, startling the wild beast and the wilder Indian in his lair, and with a wide and circling glare that for an instant made the broad daylight pallid, the caravel blew up! || he said again, circling back to his favorite maxim."
