annotation_lbl,category,sentence
Ball_fic_1845_7183.txt-96-4_balls_nf_1829_747550.txt-23-5,Undecidable,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || I now began to attend balls, and parties of pleasure, and found my mind completely occupied with what 1 daily heard were "" innocent amusements. """
Ball_news_1989_670792.txt-27-3_BALLS_mag_1992_61837.txt-47-12,Undecidable,"Follow the Bouncing Ball // Ms. Birnbaum, a lawyer and the club ' s operations partner, said, "" We felt the time was right for the audience to be part of the entertainment. "" || away with a woman line judge, resulting in the headline NEW BALLS, PLEASE."
Ball_news_1989_670792.txt-27-3_ball_fic_1969_10520.txt-1352-9,Undecidable,"Follow the Bouncing Ball // Ms. Birnbaum, a lawyer and the club ' s operations partner, said, "" We felt the time was right for the audience to be part of the entertainment. "" || Eddie himself wasn't very religious -- he played ball with us at the Parade Grounds on Saturdays -- but he was determined not to hurt his mother, and I guess I could understand why at the time."
Bits_mag_1999_408736.txt-38-2_bit_news_2006_604854.txt-83-37,Undecidable,"God's Bits of Wood (1960), a novel, By Sembene Ousmane. || This show is in 36 countries now, "" Warwick says, "" and, generally speaking, you find after about the third or fourth series that the talent pool starts to buckle down a little bit."
Bits_news_1997_652831.txt-66-11_Bits_fic_1856_1281.txt-3685-0,Undecidable,"In her book about their relationship, "" Love You to Bits and Pieces, "" now being released by Penguin in the United States, Mrs. Helfgott describes her husband's life in what he calls the "" heaven "" of their rural home in Promised Land, two hours northwest of Sydney, where she said he plays the piano at least six hours a day. || Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch."
Bits_news_1997_652831.txt-66-11_bit_fic_1960_23770.txt-175-8,Undecidable,"In her book about their relationship, "" Love You to Bits and Pieces, "" now being released by Penguin in the United States, Mrs. Helfgott describes her husband's life in what he calls the "" heaven "" of their rural home in Promised Land, two hours northwest of Sydney, where she said he plays the piano at least six hours a day. || With a napkin Mrs. Gamp wiped away a bit of deviled egg that she had spilled on her dress."
CHEF_mag_1995_395507.txt-44-0_chef_nf_1856_755595.txt-1039-23,Identical,"CHEF CLAYTON SHERROD Clayton Sherrod is owner and operator of Chef Clayton's Food Systems, Inc., an extensive catering and food service operation founded in 1977 and based in Birmingham, Ala. || "" is served in profusion; the daily bill of fare would do credit to a banquet at the Mansion House; the chef de cuisine is generally French, and an epicure would find ample scope for the gratification of his palate."
Chef_fic_1835_7133.txt-2558-11_Chef_fic_1819_8988.txt-1529-15,Identical,"Extensive fortifications of brick have been erected at Petits Coquilles, Chef Menteur, and Bayou Bienvenu, the two former guarding the passes of the Rigolet, between lake Borgne and lake Pontchartrain, and the latter the approach from lake Borgne toward New-Orleans. || -- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command."
Chef_news_1977_732998.txt-23-0_chef_nf_1991_774072.txt-1394-40,Identical,"Chef Julia Child often brings along a roast lamb sandwich from home. || A traditional recipe is given in chapter 4, but, as noted there, different herbs and vegetables can be used, depending on the type of fish being prepared, the region, and the whim of the chef."
Chef_news_1994_606769.txt-54-0_chefs_mag_2004_414078.txt-72-10,Identical,"Chef Andrew O'Connell of The Trellis in Williamsburg, Va., says every single dessert on the restaurant's menu has some chocolate in it, with the big killer best-seller the Death By Chocolate seven-layer cake that is such a pain to make that if you followed the recipe they cheerfully provide || There's even a formal dining room with waiters and chefs on hand for executive banquets, just like in Dallas."
