annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_nf_1838_747482.txt-1194-43,Unrelated,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
Ball_fic_1859_9220.txt-2340-13_balls_fic_1842_7206.txt-3298-50,Identical,"No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Ball_fic_1998_14643.txt-1259-34_ball_fic_1854_9218.txt-3589-17,Unrelated,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || He never came near me all day, and toward night I began to dress for the ball."
Ball_fic_1998_14643.txt-1259-34_ball_mag_1970_479117.txt-88-13,Undecidable,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || They were building hi-fi speakers at Braun's no bigger than a tennis ball, but with an inimitable purity of tone."
Ball_mag_2000_401152.txt-24-23_balls_mag_1854_566434.txt-121-2,Undecidable,"But it's making a big comeback in collegiate training rooms, "" says Dave Pearson, Ph.D., an exercise physiologist at Ball State University. "" || of the balls, shaped out of rock, nearly two feet in diameter, such as used to be employed when it was fired, lie near at hand."
Ball_mag_2002_384996.txt-52-8_ball_fic_2000_27978.txt-555-1,Unrelated,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || eight ball, but I 'm going to drag her down to Be-Stitched the minute she gets here and force her to make a decision. """
Ball_mag_2002_384996.txt-52-8_ball_nf_1838_747482.txt-1194-43,Unrelated,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
Balls_fic_1974_10580.txt-7369-0_balls_fic_1842_7206.txt-3298-50,Unrelated,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || And yet the Round-Rimmers condescend to join the common world in certain of their observances; they have committees, among themselves, where small men swell into great, by dint of volubility and intrigue; they make presentations after their fashion to distinguished men; and give complimentary balls, where they get a fever to a boiling pitch."
Bits_fic_1856_1281.txt-3685-0_bit_fic_2007_52343.txt-275-5,Unrelated,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || you offer me for the bit I can tell? """
Bits_fic_1856_1281.txt-3685-0_bit_news_1987_668817.txt-35-9,Unrelated,"Bits of artificial flowers are strewn about the carpet, a shawl is seen thrown over one chair, a mantle over another; the light is half shut off-everything bears evidence of the gaieties of luxurious life, the sumptuous revel and the debauch. || If we hike our dresses up just a little bit, it means it ' s a dance from an area of dry land, "" says Endo. """
Bits_fic_2009_36638.txt-804-0_bit_news_1987_668817.txt-35-9,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || If we hike our dresses up just a little bit, it means it ' s a dance from an area of dry land, "" says Endo. """
CHEF_mag_1995_395507.txt-44-0_chef_fic_1992_40323.txt-77-14,Identical,"CHEF CLAYTON SHERROD Clayton Sherrod is owner and operator of Chef Clayton's Food Systems, Inc., an extensive catering and food service operation founded in 1977 and based in Birmingham, Ala. || Sherry Tualaulelei was instrumental in the conviction and thirty-three year imprisonment of the pastry chef's boss, Sinio "" Sally Comfort "" Conforte, who had "" borrowed "" a car to sneak out for a visit to his mistress."
Chef_fic_1819_8988.txt-1529-15_chef_news_1995_631270.txt-48-3,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Ever the practical chef, she pulls out store-bought pumpkin seeds to make pesto for the frittata when the zucchini she opens do not yield mature-enough seeds to roast."
Chef_fic_1819_8988.txt-1529-15_chefs_mag_1994_426049.txt-149-1,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Smart chefs will use chicken broth instead of butter, but at Mom's table, smart doesn't always cut it."
Chef_fic_1844_3928.txt-1406-9_chef_news_2006_629441.txt-92-6,Distantly Related,"Morrel has received a regiment, and Joliette is Chef d'Escadron of Spahis. || While they were dating, executive chef Jonathan Jones of the Tasting Room took his wife to Empress"
Chef_fic_1850_7304.txt-1678-37_chef_fic_1852_9031.txt-1189-25,Unrelated,"Il fallut songer ensuite lui donner un successeur, et le choix que l'on fit, fut plus sage, qu'on ne devoit l'attendre de gens, do nt les mains fumoient encore du sang de leur Chef. || If I do succeed, and you ever write that book you were speaking of, I bespeak a prominent place in it for my chef d ' oeuvre of stratagem."
Chef_fic_1995_39408.txt-349-5_chef_nf_1977_774125.txt-1297-15,Distantly Related,""" So, "" the Chef du Village says with a shrug, already scanning down the line. "" || The meaning was pretty clear, but Newsweek spelled it out, saying that the chef "" routinely expresses contempt for women in the kitchen."
Chef_mag_1827_553813.txt-226-40_chef_mag_1986_432289.txt-29-3,Distantly Related,"Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres. || Seppi Renggli, chef of The Four Seasons restaurant in New York, created his own spa cuisine in conjunction with a nutritionist."
Chef_news_1977_732998.txt-23-0_chefs_news_1993_655748.txt-41-5,Identical,"Chef Julia Child often brings along a roast lamb sandwich from home. || by some of the best-known chefs in America. """
Chef_news_1994_606769.txt-54-0_chef_mag_2002_397228.txt-0-30,Identical,"Chef Andrew O'Connell of The Trellis in Williamsburg, Va., says every single dessert on the restaurant's menu has some chocolate in it, with the big killer best-seller the Death By Chocolate seven-layer cake that is such a pain to make that if you followed the recipe they cheerfully provide || @@397228 // Hurtling toward American Idol's hotly anticipated climax, finalists Kelly Clarkson, Nikki McKibbin and Justin Guarini savor living large in a mansion equipped with a personal chef (and an on-call shrink) Sunup on L.A.'s Mulholland Drive and the only evidence Tamyra Gray ever dwelled here with the other American Idol finalists is a note she left behind, like some message from a reality-TV ghost."
Chefs_nf_1977_774125.txt-767-0_chef_nf_1991_774072.txt-1394-40,Identical,"Chefs are exceedingly difficult to translate because they are imprecise about amounts and, since they are speaking to fellow professionals, they may leave out whole operations. || A traditional recipe is given in chapter 4, but, as noted there, different herbs and vegetables can be used, depending on the type of fish being prepared, the region, and the whim of the chef."
Circle_fic_2007_52477.txt-270-44_circling_fic_1994_54062.txt-687-3,Undecidable,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || More Gothas were circling above and below, propellers churning through the murk, their familiar Wong-wong filling the fog."
Circle_fic_2007_52477.txt-270-44_circling_nf_1849_749269.txt-626-4,Undecidable,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || he said again, circling back to his favorite maxim."
