annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_balls_fic_1967_10489.txt-1997-3,Distantly Related,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || "" Cut my balls off, I suppose. """
Ball_fic_1845_7183.txt-96-4_ball_fic_1851_746.txt-5431-59,Closely Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Again: as the profound calm which only apparently precedes and prophesies of the storm, is perhaps more awful than the storm itself; for, indeed, the calm is but the wrapper and envelope of the storm; and contains it in itself, as the seemingly harmless rifle holds the fatal powder, and the ball, and the explosion; so the graceful repose of the line, as"
Ball_fic_1845_7183.txt-96-4_ball_fic_1856_1562.txt-4022-8,Distantly Related,PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || I was not anxious to keep up the ball of conversation which he had begun with a spirit so mixed up of contradictions -- so earnest yet so playful.
Ball_fic_1845_7183.txt-96-4_ball_fic_1973_10570.txt-1937-3,Closely Related,PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Stickin ' the ball in his back pocket like that.
Ball_fic_1845_7183.txt-96-4_ball_mag_1989_492445.txt-76-35,Closely Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || Medical updates were released three times a day, and hundreds stood vigil outside the East Side hospital, including dozens of children who weren't even old enough to have seen their idol play ball."
Ball_fic_1845_7183.txt-96-4_ball_nf_1849_747900.txt-2608-10,Closely Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || On a green plain, young men were engaged at ball."
Ball_fic_1845_7183.txt-96-4_balls_fic_1967_10489.txt-1997-3,Distantly Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || "" Cut my balls off, I suppose. """
Ball_fic_1845_7183.txt-96-4_balls_fic_1986_16266.txt-1941-23,Closely Related,"PAGE The Land-Fever 1 Ball at Thram's Huddle 15 A Forest Fete 27 Love vs. || STANKOVICHI swear asshole, if this thing is a phony, I 'm gon na personally track you down, cut off your balls and stuff ' em down your throat."
Bit_news_1983_669272.txt-15-1_bit_fic_1848_7265.txt-153-9,Closely Related,"// Bit by bit, the interruptions become disruptions. || The boys had planted their feet on a little bit of an island, around which the water gurgled; and Clapham, turning his eyes from the brook to the wooded hills, lit up with a shower of golden light, said, "" Hal, is not this here brook a pretty kind of looking-glass? """
Bit_news_1983_669272.txt-15-1_bit_fic_2003_48664.txt-150-2,Distantly Related,"// Bit by bit, the interruptions become disruptions. || The little bit of motion her body made coming through the grass stifled the crickets."
Chef_fic_1819_8988.txt-1529-15_Chef_mag_1827_553813.txt-226-40,Closely Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || Je vous nomme et etablis Lieutenant des Sauvages pour le District du Detroit pour en faire les fonctions en la ditte qualihi, vous obeinls et suivhis les ordres & instructions que vous recevnls de son Excellence le Commandant en Chef du Surintendant des Sauvages, de son Depuhi on de tous autres officiers Superieurs en menant & conduisant les partie des fidelles nations sauvages, alies * i sa Majestk qui seront sons vos ordres."
Chef_fic_1819_8988.txt-1529-15_chef_fic_1840_7057.txt-1784-63,Closely Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || On arriving at the house, he entered the comtoir, and found himself, after passing an antechamber, in a large apartment filled with clerks behind high desks and counters; he inquired for Mr. Khl, and was asked for his card, which the young man, after reading, not without marks of interest, carried into his chef."
Chef_fic_1819_8988.txt-1529-15_chef_fic_1844_3928.txt-3841-15,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || The gate was immediately opened, and Lieutenant Roche, accompanied by M. Leseur, chef de bataillon, bearing a flag of truce, followed the commandant to the Pavillon de l'Horloge, where stood the Duke of Nemours, pale with excitement, surrounded by generals. """
Chef_fic_1819_8988.txt-1529-15_chef_fic_1848_1108.txt-1284-31,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || But if I was in youa place, and I really wanted to know whe'e them slippas come from -- "" "" I do -- I do indeed -- "" The chef paused before he added, """
Chef_fic_1819_8988.txt-1529-15_chef_fic_1852_9031.txt-1189-25,Distantly Related,"-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command. || If I do succeed, and you ever write that book you were speaking of, I bespeak a prominent place in it for my chef d ' oeuvre of stratagem."
