annotation_lbl,category,sentence
BALLS_mag_1992_61837.txt-47-12_ball_mag_2007_389278.txt-46-14,Unrelated,"away with a woman line judge, resulting in the headline NEW BALLS, PLEASE. || When you do this, the club often bottoms out before it reaches the ball."
Ball_fic_1998_14643.txt-1259-34_ball_nf_1838_747482.txt-1194-43,Unrelated,"oops, sorry -- operators of the local sewage treatment plant, of Sparks, Nevada, were forced to warn locals not to pour grease down the drain, after a Monster Grease Ball disrupted operations. || Billiards, cards, Pharo and other games of hazard, are to be found at every hundred steps, in every street and alley of Paris; haunted by blacklegs in waiting for your purse; and there is scarce a private ball or soiree, even to those of the court, in which immense sums are not lost and won, by gambling."
Ball_mag_2002_384996.txt-52-8_ball_mag_1999_404416.txt-81-13,Identical,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || I didn't have a lot of things to do except throw a ball all day long, "" Tim says. """
Ball_mag_2002_384996.txt-52-8_balls_fic_1980_780046.txt-4314-34,Identical,"// * MINIATURE BALL: It is like Ball but smaller, between 2 and 3 1/2 inches wide. || With fires blazing in almost every room -- though there were adequate coal furnaces -- and holiday greens at every window and enormous Christmas trees in the public rooms dancing with tinsel and glass balls and toy reindeer and Santa Clauses, and ballroom music every night and liquors and wines donated by the management, it was a joyous and resplendent time at the resort."
Balls_fic_1974_10580.txt-7369-0_ball_fic_1976_780158.txt-2290-7,Closely Related,"Balls and cues were found and a pool tournament was organized, in which the Major, Horne, Bailey, John, and Nicky were participants. || It's all part of the same ball of wax."
Bits_fic_2009_36638.txt-804-0_bit_nf_1969_774314.txt-476-11,Unrelated,"Bits of tea leaves clung to the inner curves of the broken cup. || Essentially a drill is a scraping instrument, while the auger bit cuts and must therefore have a cutting edge."
Bits_fic_2009_36638.txt-804-0_bits_nf_1853_747976.txt-1572-25,Closely Related,"Bits of tea leaves clung to the inner curves of the broken cup. || The last form hut one tool, the stock being the handle, to the bottom of which may be fitted a variety of steel bits of different bores and shapes, for boring and widening out holes in wood and metal, as countersinks, rimers, and taper shell bits."
Chef_news_1977_732998.txt-23-0_chef_mag_1850_555680.txt-297-13,Unrelated,Chef Julia Child often brings along a roast lamb sandwich from home. || Louis Philippe was deposed and set aside as easily and quietly as any chef de bureau.
Chef_news_1994_606769.txt-54-0_chef_fic_1848_1108.txt-1284-31,Unrelated,"Chef Andrew O'Connell of The Trellis in Williamsburg, Va., says every single dessert on the restaurant's menu has some chocolate in it, with the big killer best-seller the Death By Chocolate seven-layer cake that is such a pain to make that if you followed the recipe they cheerfully provide || But if I was in youa place, and I really wanted to know whe'e them slippas come from -- "" "" I do -- I do indeed -- "" The chef paused before he added, """
Circle_fic_2007_52477.txt-270-44_circled_fic_1961_781980.txt-1331-7,Unrelated,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || They walked down the gravel path, circled the pool and fountain."
Circle_fic_2007_52477.txt-270-44_circled_fic_2007_34154.txt-18-29,Unrelated,"Author Affiliation LEE SMITH is the author of three story collections and twelve novels, including Oral History (1983), Fair and Tender Ladies (1988), and The Last Girls (2002), cowinner of the Southern Book Critics Circle Award for Fiction. || Small-boned, with light brown hair and blue-green eyes, she dressed like the perfectly conservative product of a conservative school except that a delicate tracery of tattooed flowers circled one thin white wrist and was almost unnoticeable beneath the leather band of her watch."
Circled_fic_1853_7455.txt-317-9_circle_nf_1827_747521.txt-163-33,Unrelated,"So she stood in this Palace of Pleasure, Circled round by the Swans of Delight. || Let 6/, be the central hne; divide it into four parts, and at one fourth make the hne a b across the column; on c, make the half circle a e b; with the distance / 1, at the neck of the column, and on 1, on the central hne, make the points 1, 1, on the circle; divide from 1 to c,"
FICTION_mag_1979_293342.txt-0-1_fiction_mag_1832_554166.txt-312-19,Identical,"@@293342 FICTION: A Bend in the River, V.S. || The weighty moral with which they are loaded, indeed, frequently presses heavily on the light vehicle of fiction, giving it a coarse business air; while the perpetual accommodation of the intrigue to the moral often produces an appearance of violence in the piece, that impairs its value as a work of art."
Faces_news_1986_670424.txt-2-0_face_mag_1848_524903.txt-319-4,Identical,"Faces 20 Years in Prison // In all, Mr. McLaughlin, a lawyer, faces 20 years in prison and automatic disbarment, although a prison sentence for more than the maximum on one count, 7 years, would be unlikely. || Now, in the face of this doleful strain of complaint, and show of suffering virtue, there is likely, we think, to be found dwelling in the public mind, and finding a voice, too, in public speech, certain significant, and it may be awkward queries, which it were well, perhaps, if the Secretary would prepare himself to answer, that is to say, if he expects to gain much credit for his Popular Appeal against General Scott beyond that of having the ability to maintain a desperate cause with desperate and reckless cunning and ingenuity."
Fiction_fic_1838_7085.txt-189-13_fiction_news_2004_648944.txt-16-8,Identical,""" Fierce War, and faithful Love, And Truth severe by fairy Fiction dress'd. "" || Jackson admitted that the reports were not all fiction, saying that the pressure of Bryant's legal situation had hurt his interaction with teammates. """
Grafts_nf_1850_747863.txt-404-1_grafts_nf_1981_773834.txt-1049-3,Closely Related,"/z/ Grafts which have become dry, may be restored if the moisture is applied so gradually that its absorption may re quire several weeks. || not only for grafts and transplants, but also for cancer control."
PROPS_mag_2003_416114.txt-82-0_props_fic_1854_9230.txt-3826-23,Unrelated,"PROPS: A little extra beef in the flex eliminates tip and tail flop. || His limbs trembled in every joint and rivet, and his teeth, which were not metallic, shook like a set of props."
PROPS_mag_2003_416114.txt-82-0_props_fic_2001_12941.txt-1528-13,Unrelated,PROPS: A little extra beef in the flex eliminates tip and tail flop. || Every morning the sun rises in the eastern horizon I give them their props.
PROPS_mag_2003_416114.txt-82-0_props_mag_1992_408689.txt-121-25,Unrelated,"PROPS: A little extra beef in the flex eliminates tip and tail flop. || Occupational therapists can teach an impaired person how to brush his teeth again or cook, and devise solutions to other problems by using such props as oversize buttons and grab bars for bathtubs."
Part_mag_1983_323609.txt-21-4_part_fic_1849_5168.txt-3794-11,Unrelated,"The young Peer of Part I (rather monotonously played by Greg || Frank took the Doctor to his home, resolved never to part with so faithful and gallant a friend, whose faults had been the faults of unfortunate circumstances, but whose heart, he felt assured, was ' in the right place. '"
Part_mag_1983_323609.txt-21-4_parts_mag_1822_553396.txt-366-22,Unrelated,"The young Peer of Part I (rather monotonously played by Greg || All parts of the tree are penetrated by pyrites of a brass yellow colour, disseminated through the most solid and stony parts of the interior, -- filling interstices in the outer rind, or investing its capillary pores."
